@relation hayes-roth.data

@attribute name numeric
@attribute hobby numeric
@attribute age numeric
@attribute 'educational level' numeric
@attribute 'marital status' numeric
@attribute class numeric

@data
1,3,2,1,1,1
2,2,1,3,2,2
3,1,4,1,1,3
4,2,4,4,2,3
5,1,3,2,1,1
6,3,2,1,3,2
7,1,2,1,1,1
8,2,4,1,4,3
9,3,1,1,2,1
10,2,1,3,2,2
11,1,2,4,2,3
12,3,4,1,3,3
13,3,3,4,2,3
14,1,2,2,1,2
15,1,3,2,1,1
16,3,2,1,3,1
17,2,1,1,2,1
18,2,2,4,3,3
19,3,2,1,3,1
20,1,1,3,3,1
21,1,2,2,1,2
22,3,1,4,4,3
23,3,2,1,3,2
24,1,2,3,3,2
25,2,1,2,2,2
26,1,1,2,2,2
27,1,4,4,1,3
28,1,1,2,1,1
29,3,3,2,1,2
30,1,1,3,2,1
31,3,3,2,1,2
32,2,3,2,1,2
33,1,2,2,3,2
34,2,2,1,2,2
35,1,2,1,3,1
36,2,2,1,1,1
37,1,2,1,3,2
38,2,1,1,4,3
39,3,2,1,2,2
40,2,1,2,1,1
41,1,1,3,2,2
42,2,2,1,3,1
43,3,2,2,4,3
44,1,1,4,3,3
45,3,1,1,2,1
46,3,4,1,2,3
47,1,4,2,1,3
48,1,3,2,4,3
49,1,2,1,2,2
50,1,2,1,1,1
51,3,1,1,2,1
52,1,2,2,1,2
53,3,2,1,2,2
54,1,1,1,2,1
55,1,4,2,3,3
56,2,2,1,2,2
57,3,2,1,1,1
58,1,2,2,1,2
59,1,1,1,2,1
60,2,1,2,2,2
61,2,4,2,2,3
62,3,1,2,2,2
63,2,2,2,1,2
64,3,4,3,2,3
65,2,3,2,3,2
66,1,1,1,2,1
67,3,3,1,1,1
68,3,3,2,1,1
69,3,3,3,1,1
70,2,2,2,1,2
71,3,1,2,2,2
72,2,2,1,4,3
73,3,1,2,2,2
74,3,2,1,1,1
75,1,2,4,4,3
76,3,2,2,1,2
77,3,2,2,1,2
78,2,1,2,2,2
79,3,2,2,1,2
80,3,1,3,2,2
81,1,2,1,1,1
82,1,2,1,2,2
83,3,1,4,1,3
84,2,2,2,1,2
85,3,2,1,2,2
86,2,2,1,2,2
87,2,2,4,1,3
88,1,1,2,2,2
89,3,1,3,2,1
90,1,2,1,2,2
91,2,3,2,1,1
92,2,1,1,2,1
93,2,1,2,1,1
94,1,1,2,1,1
95,2,3,2,1,1
96,1,1,1,2,1
97,2,1,3,1,1
98,3,3,3,2,2
99,2,2,3,2,2
100,2,3,4,1,3
101,3,3,1,4,3
102,3,1,4,2,3
103,2,2,1,1,1
104,1,1,2,2,2
105,3,2,1,1,1
106,3,1,2,1,1
107,1,1,3,4,3
108,1,1,2,1,1
109,2,2,1,3,2
110,2,4,3,1,3
111,2,3,2,1,2
112,1,1,1,3,1
113,1,1,3,2,2
114,2,2,1,3,1
115,1,2,1,3,2
116,3,1,2,2,2
117,1,3,2,1,2
118,2,1,2,1,1
119,3,1,3,2,1
120,1,1,3,2,1
121,2,1,3,2,1
122,2,2,3,4,3
123,2,1,2,1,1
124,3,3,2,2,2
125,3,4,2,4,3
126,3,1,2,1,1
127,3,1,2,1,1
128,1,1,2,4,3
129,2,2,1,2,2
130,2,1,1,2,1
131,2,3,1,3,1
132,2,2,1,1,1
